number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_embedding_dimension,params_learning_rate,params_window_size,state
0,0.09729789942502975,2023-12-06 16:49:22.759134,2023-12-06 17:16:26.362385,0 days 00:27:03.603251,32,0.2,128,0.016124591095265373,7,COMPLETE
1,0.0003661540395114571,2023-12-06 17:16:26.367383,2023-12-06 17:26:17.915312,0 days 00:09:51.547929,32,0.05,128,0.00029874182104867164,12,COMPLETE
2,0.010662059299647808,2023-12-06 17:26:17.965282,2023-12-06 17:56:44.608557,0 days 00:30:26.643275,256,0.30000000000000004,512,0.04337743182470487,17,COMPLETE
3,0.2445949912071228,2023-12-06 17:56:44.634541,2023-12-06 18:22:35.287596,0 days 00:25:50.653055,64,0.45,128,0.04451347975435398,9,COMPLETE
4,0.01777583174407482,2023-12-06 18:22:35.292590,2023-12-06 18:37:22.253953,0 days 00:14:46.961363,256,0.55,128,0.0022346758408902253,10,COMPLETE
5,0.06631839275360107,2023-12-06 18:37:22.257952,2023-12-06 18:54:04.093634,0 days 00:16:41.835682,1024,0.55,64,0.021087639556375753,11,COMPLETE
6,0.00538599630817771,2023-12-06 18:54:04.100631,2023-12-06 18:59:38.453849,0 days 00:05:34.353218,32,0.55,32,0.001702328279090581,13,COMPLETE
7,0.019050896167755127,2023-12-06 18:59:38.455849,2023-12-06 19:05:35.622150,0 days 00:05:57.166301,64,0.65,32,0.006700583949302325,11,COMPLETE
8,0.0002643637708388269,2023-12-06 19:05:35.624148,2023-12-06 19:21:12.219610,0 days 00:15:36.595462,32,0.1,256,3.436250562908517e-05,5,COMPLETE
9,0.017307015135884285,2023-12-06 19:21:12.222607,2023-12-06 19:31:02.540177,0 days 00:09:50.317570,1024,0.7,64,0.00468972767413828,5,COMPLETE
10,0.14740224182605743,2023-12-06 19:31:02.541175,2023-12-06 20:25:01.600839,0 days 00:53:59.059664,128,0.4,512,0.08624264297617684,19,COMPLETE
